dataset,dataset_label,family,model,class_id,class_label,precision,recall,f1_score,support
unsw_nb15,UNSW-NB15,DL,CNN1D,0,Analysis,0.18359375,0.5280898876404494,0.27246376811594203,89.0
unsw_nb15,UNSW-NB15,DL,CNN1D,1,Backdoor,0.15492957746478872,0.4782608695652174,0.23404255319148937,69.0
unsw_nb15,UNSW-NB15,DL,CNN1D,2,Dos,0.22127659574468084,0.15160349854227406,0.17993079584775087,343.0
unsw_nb15,UNSW-NB15,DL,CNN1D,3,Exploits,0.7381489841986456,0.6445466491458607,0.6881795861101367,1522.0
unsw_nb15,UNSW-NB15,DL,CNN1D,4,Fuzzers,0.3733528550512445,0.7902892561983471,0.5071262843884654,968.0
unsw_nb15,UNSW-NB15,DL,CNN1D,5,Generic,0.953416149068323,0.8399452804377565,0.893090909090909,731.0
unsw_nb15,UNSW-NB15,DL,CNN1D,6,Normal,0.9881831610044313,0.7823417629001608,0.8732968915721628,6841.0
unsw_nb15,UNSW-NB15,DL,CNN1D,7,Reconnaissance,0.5707692307692308,0.6857670979667283,0.6230058774139379,541.0
unsw_nb15,UNSW-NB15,DL,CNN1D,8,Shellcode,0.16981132075471697,0.5921052631578947,0.26392961876832843,76.0
unsw_nb15,UNSW-NB15,DL,CNN1D,9,Worms,0.045454545454545456,0.6666666666666666,0.0851063829787234,9.0
unsw_nb15,UNSW-NB15,DL,MLP,0,Analysis,0.15384615384615385,0.5168539325842697,0.23711340206185566,89.0
unsw_nb15,UNSW-NB15,DL,MLP,1,Backdoor,0.1507537688442211,0.43478260869565216,0.22388059701492538,69.0
unsw_nb15,UNSW-NB15,DL,MLP,2,Dos,0.21882951653944022,0.25072886297376096,0.23369565217391305,343.0
unsw_nb15,UNSW-NB15,DL,MLP,3,Exploits,0.8312318137730359,0.5630749014454665,0.6713670191931062,1522.0
unsw_nb15,UNSW-NB15,DL,MLP,4,Fuzzers,0.5775635407537248,0.6807851239669421,0.6249407302038881,968.0
unsw_nb15,UNSW-NB15,DL,MLP,5,Generic,0.9606299212598425,0.8344733242134063,0.8931185944363104,731.0
